#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
c_aome;Aome;Aome;Aome;;Aome;;;;;;;;;x
c_aome_adj;Aomean;;aomer;;;;;;;;;;;x
c_auarua;Auarua;Auarua;Auarua;;Auarua;;;;;;;;;x
c_auarua_adj;Auaruan;;auarer;;;;;;;;;;;x
c_becquena;Becquena;Becquena;Becquena;;Becquena;;;;;;;;;x
c_becquena_adj;Becquenan;;becquener;;;;;;;;;;;x
c_cearnei;Cearnei;Cearnei;Cearnei;;Cearnei;;;;;;;;;x
c_cearnei_adj;Cearnian;;cearner;;;;;;;;;;;x
c_certa;Certa;Certa;Certa;;Certa;;;;;;;;;x
c_certa_adj;Certan;;certer;;;;;;;;;;;x
c_clemair;Clemair;Clemair;Clemair;;Clemair;;;;;;;;;x
c_clemair_adj;Clemairian;;clemairer;;;;;;;;;;;x
c_denema;Denema;Denema;Denema;;Denema;;;;;;;;;x
c_denema_adj;Deneman;;denemer;;;;;;;;;;;x
c_diripia;Diripia;Diripia;Diripia;;Diripia;;;;;;;;;x
c_diripia_adj;Diripian;;diriper;;;;;;;;;;;x
c_emuna;Emuna;Emuna;Emuna;;Emuna;;;;;;;;;x
c_emuna_adj;Emunan;;emuner;;;;;;;;;;;x
c_huanme;Huanme;Huanme;Huanme;;Huanme;;;;;;;;;x
c_huanme_adj;Huanmean;;huanmer;;;;;;;;;;;x
c_malandi;Malandi;Malandi;Malandi;;Malandi;;;;;;;;;x
c_malandi_adj;Malandian;;malander;;;;;;;;;;;x
c_schialan;Schialan;Schialan;Schialan;;Schialan;;;;;;;;;x
c_schialan_adj;Schialanian;;schialaner;;;;;;;;;;;x
c_tekana;Tekana;Tekana;Tekana;;Tekana;;;;;;;;;x
c_tekana_adj;Tekanan;;tekaner;;;;;;;;;;;x
c_zamea;Zamea;Zamea;Zamea;;Zamea;;;;;;;;;x
c_zamea_adj;Zamean;;zamer;;;;;;;;;;;x
